Boundary Type,Boundary Name,Population 2016,Population Density 2016,Year opened,Aboriginal,Aboriginal Percent,Visible Minorities Names,Visible Minorities Numbers,Visible Minorities Percent,Visible Minorities Total Number,Visible Minorities Total Percent,Citizenship Numbers,Citizenship Percent,Education Numbers,Education Percent,Unemployment Rate
Neighbourhood,King Edward,5525,3467.5130118033517,1971,900,0.16289592760180993,"['Filipino', 'Black', 'Chinese']","[765, 140, 110]","[0.6047430830039525, 0.11067193675889328, 0.08695652173913043]",1265,0.22895927601809954,"[5205, 320]","[0.9420814479638009, 0.0579185520361991]","[925, 1555, 2135]","[0.20043336944745396, 0.3369447453954496, 0.4626218851570964]",0.06
Neighbourhood,Kingston Crescent,720,1002.51603677563,1971,55,0.0763888888888889,"['Filipino', 'South Asian', 'Black']","[0, 0, 0]","[0, 0, 0]",0,0.0,"[705, 15]","[0.9791666666666666, 0.020833333333333332]","[60, 155, 410]","[0.096, 0.248, 0.656]",0.05
Neighbourhood,Kirkfield,2785,1402.3501071526402,1971,190,0.0682226211849192,"['Filipino', 'South Asian', 'Arab']","[60, 45, 40]","[0.23076923076923078, 0.17307692307692307, 0.15384615384615385]",260,0.0933572710951526,"[2700, 90]","[0.967741935483871, 0.03225806451612903]","[455, 785, 1230]","[0.18421052631578946, 0.31781376518218624, 0.4979757085020243]",0.05
Neighbourhood,Lavalee,1245,2339.117560854633,1971,295,0.2369477911646586,"['Filipino', 'Black', 'West Asian']","[50, 45, 45]","[0.18518518518518517, 0.16666666666666666, 0.16666666666666666]",270,0.21686746987951808,"[1165, 85]","[0.932, 0.068]","[290, 290, 410]","[0.29292929292929293, 0.29292929292929293, 0.41414141414141414]",0.08
Neighbourhood,Leila North,1230,863.9575860041681,2006,125,0.1016260162601626,"['South Asian', 'Filipino', 'Chinese']","[350, 120, 30]","[0.603448275862069, 0.20689655172413793, 0.05172413793103448]",580,0.4715447154471545,"[830, 395]","[0.6775510204081633, 0.3224489795918367]","[215, 325, 550]","[0.19724770642201836, 0.2981651376146789, 0.5045871559633027]",0.02
Neighbourhood,Leila-Mcphillips Triangle,2980,2847.2960719735297,1971,295,0.09899328859060402,"['Filipino', 'South Asian', 'Southeast Asian']","[940, 410, 55]","[0.5949367088607594, 0.25949367088607594, 0.03481012658227848]",1580,0.5302013422818792,"[2400, 580]","[0.8053691275167785, 0.19463087248322147]","[455, 790, 1285]","[0.17984189723320157, 0.31225296442687744, 0.5079051383399209]",0.05
Neighbourhood,Linden Ridge,1655,2806.535581953383,2006,30,0.01812688821752266,"['South Asian', 'Arab', 'Chinese']","[155, 140, 35]","[0.3069306930693069, 0.27722772277227725, 0.06930693069306931]",505,0.30513595166163143,"[1450, 205]","[0.8761329305135952, 0.12386706948640483]","[105, 350, 885]","[0.07835820895522388, 0.26119402985074625, 0.6604477611940298]",0.02
Neighbourhood,Linden Woods,9700,2685.0623889470653,1986,285,0.029381443298969072,"['South Asian', 'Chinese', 'Korean']","[680, 660, 400]","[0.24862888482632542, 0.2413162705667276, 0.14625228519195613]",2735,0.28195876288659794,"[8795, 900]","[0.9071686436307375, 0.09283135636926251]","[815, 1960, 5335]","[0.10049321824907521, 0.24167694204685575, 0.657829839704069]",0.05
Neighbourhood,Logan-C.P.R.,240,225.23325719197948,1971,90,0.375,"['Filipino', 'Black', 'Latin American']","[40, 40, 15]","[0.42105263157894735, 0.42105263157894735, 0.15789473684210525]",95,0.3958333333333333,"[205, 35]","[0.8541666666666666, 0.14583333333333334]","[80, 45, 65]","[0.42105263157894735, 0.23684210526315788, 0.34210526315789475]",0.0
Neighbourhood,Lord Roberts,4965,2935.8703037162263,1971,815,0.16414904330312186,"['Filipino', 'Black', 'South Asian']","[230, 105, 50]","[0.38016528925619836, 0.17355371900826447, 0.08264462809917356]",605,0.12185297079556898,"[4715, 250]","[0.9496475327291037, 0.050352467270896276]","[710, 1230, 2290]","[0.16784869976359337, 0.2907801418439716, 0.541371158392435]",0.07
Neighbourhood,Lord Selkirk Park,1520,2843.327066790127,1971,975,0.6414473684210525,"['Black', 'Filipino', 'Chinese']","[175, 10, 10]","[0.813953488372093, 0.046511627906976744, 0.046511627906976744]",215,0.14144736842105263,"[1440, 80]","[0.9473684210526315, 0.05263157894736842]","[530, 285, 225]","[0.5096153846153846, 0.27403846153846156, 0.21634615384615385]",0.2
Neighbourhood,Luxton,2575,3969.8507181961,1971,655,0.2543689320388349,"['Black', 'Filipino', 'Southeast Asian']","[75, 60, 40]","[0.3333333333333333, 0.26666666666666666, 0.17777777777777778]",225,0.08737864077669903,"[2480, 95]","[0.9631067961165048, 0.036893203883495145]","[510, 615, 940]","[0.2469733656174334, 0.29782082324455206, 0.4552058111380145]",0.08
Neighbourhood,Maginot,1545,3538.4326461063497,1971,370,0.23948220064724918,"['Black', 'South Asian', 'Latin American']","[110, 55, 50]","[0.4, 0.2, 0.18181818181818182]",275,0.1779935275080906,"[1380, 165]","[0.8932038834951457, 0.10679611650485436]","[335, 450, 450]","[0.27125506072874495, 0.3643724696356275, 0.3643724696356275]",0.1
Neighbourhood,Mandalay West,6075,3918.5711244847803,1981,445,0.07325102880658436,"['Filipino', 'South Asian', 'Black']","[2130, 1315, 110]","[0.5503875968992248, 0.3397932816537468, 0.028423772609819122]",3870,0.6370370370370371,"[5205, 875]","[0.8560855263157895, 0.14391447368421054]","[965, 1560, 2485]","[0.19261477045908185, 0.31137724550898205, 0.49600798403193613]",0.05
Neighbourhood,Margaret Park,2210,2427.869747534504,1971,325,0.14705882352941177,"['Filipino', 'South Asian', 'Latin American']","[390, 85, 30]","[0.6964285714285714, 0.15178571428571427, 0.05357142857142857]",560,0.25339366515837103,"[1960, 250]","[0.8868778280542986, 0.11312217194570136]","[355, 700, 840]","[0.18733509234828497, 0.36939313984168864, 0.44327176781002636]",0.08
Neighbourhood,Marlton,635,1123.563696329928,1971,40,0.06299212598425197,"['Southeast Asian', 'Filipino', 'South Asian']","[20, 15, 15]","[0.2857142857142857, 0.21428571428571427, 0.21428571428571427]",70,0.11023622047244094,"[615, 20]","[0.968503937007874, 0.031496062992125984]","[55, 160, 295]","[0.10784313725490197, 0.3137254901960784, 0.5784313725490197]",0.06
Neighbourhood,Mathers,2680,3525.3741434853587,1971,105,0.039179104477611935,"['Filipino', 'South Asian', 'Black']","[95, 70, 70]","[0.20212765957446807, 0.14893617021276595, 0.14893617021276595]",470,0.17537313432835822,"[2330, 350]","[0.8694029850746269, 0.13059701492537312]","[340, 630, 1395]","[0.14376321353065538, 0.266384778012685, 0.5898520084566596]",0.07
